created_at,text,location,retweeted,retweet_count
Sat Mar 21 20 04 34  0000 2020, JeffreeStarApproved  JeffreeStar Im a MA student  we had 1 5 months of strikes and now the pandemic has made all  ,,False,0
Sat Mar 21 20 03 24  0000 2020, SenFeinstein please help students like me who attend  aiccucal colleges  who serve nearly 380 000 students in the  ,Belmont  CA,False,2
Sat Mar 21 20 02 10  0000 2020,RT  CFabio7  I am very excited to announce that I have verbally committed to further my education and softball career at Furman University ,Plum  PA,False,13
Sat Mar 21 20 01 54  0000 2020,RT  Neoludica Art   Culture  Education  School  University  Art  GameArt Videogames  amp   CulturalHeritage   ,,False,5
Sat Mar 21 20 01 35  0000 2020,RT  CFabio7  I am very excited to announce that I have verbally committed to further my education and softball career at Furman University ,,False,13
Sat Mar 21 20 00 21  0000 2020,RT  AHMED48  We  university students  demand the cancellation of the second term  Our health is more important than education  We come fro,,False,481
Sat Mar 21 19 58 48  0000 2020,RT  Vadakin City  As an alum  instructional faculty  ohiou were crucial to my education  OU Pres  Nellis must commit to not laying off inst,Queens  NY,False,3
Sat Mar 21 19 58 02  0000 2020,RT  BrookingsGlobal  Jin Chi explains how coronavirus has disrupted lives and education in Chinaand also increasing the role of online lea,Karachi  Pakistan,False,2
Sat Mar 21 19 57 34  0000 2020,RT  AHMED48  We university students demand the cancellation of the second term Our health is more important than education We come from al,Alexandria  Egypt,False,29
Sat Mar 21 19 57 11  0000 2020,These messages have been recorded by my cousin in Canada   Hunaina Mirza Family physician  MD CCFP  TORONTO canada  ,,False,0
Sat Mar 21 19 56 48  0000 2020,RT  maajidaali  One lesson learnt in  highereducation during  COVID 19 crisis Students  select  university for your  education that has,Dubai  United Arab Emirates,False,1
Sat Mar 21 19 55 53  0000 2020,RT  CFabio7  I am very excited to announce that I have verbally committed to further my education and softball career at Furman University ,,False,13
Sat Mar 21 19 55 40  0000 2020,RT  HAHayatu  Someone sought my advice on investment  kindly help  He has 15M he want to share it among his three children for university,The Grassland,False,79
Sat Mar 21 19 55 31  0000 2020, JennyMae40  AOC To a European that is a strange idea   we all expect   and get   excellent care here  but the prof  ,Cratloe,False,0
Sat Mar 21 19 55 17  0000 2020,One of our core values is the top notch education  Our team has devised the education policy with extra care  The u  ,Curacao,False,0
